,state,delta_tested,delta_vaccinated1,delta_vaccinated2,delta7_confirmed,delta7_recovered,delta7_tested,delta7_vaccinated1,delta7_vaccinated2,population,total_confirmed,total_deceased,total_recovered,total_tested,total_vaccinated1,total_vaccinated2,tr,category,death
0,AN,1376.0,3.0,13.0,3.0,5.0,8936.0,884,10640,397000,7651,129,7518,598033,294001,200157,1.5063803526448363,E,133
1,AP,39848.0,20497.0,24137.0,2873.0,3590.0,254532.0,1223010,1887005,52221000,2066450,14373,2047722,29518787,32976969,20375181,0.565266597728883,D,18728
2,AR,334.0,42.0,195.0,66.0,97.0,4788.0,3312,23647,1504000,55155,280,54774,1185436,771875,534486,0.788188829787234,E,381
3,AS,15060.0,19124.0,37463.0,2056.0,2215.0,269097.0,274869,849889,34293000,610645,5997,600974,24712042,20172463,8068795,0.7206147610299478,D,9671
4,BR,226443.0,114694.0,145827.0,40.0,31.0,1378539.0,1286708,2144970,119520000,726098,9661,716390,50531824,49874828,18346781,0.4227896921017403,C,9708
5,CH,1403.0,211.0,1282.0,28.0,20.0,10726.0,3680,21641,1179000,65351,820,64495,792851,926035,546981,0.6724775233248516,D,856
6,CT,11869.0,21312.0,39393.0,205.0,103.0,147451.0,379374,604260,28724000,1006052,13577,992159,13709510,14851682,7343273,0.4772841526249826,C,13893
7,DL,56751.0,12482.0,11839.0,267.0,239.0,395086.0,160323,269146,19814000,1439870,25091,1414431,29427753,13055636,7425404,1.485200010093873,E,25439
8,DN,0.0,3.0,20.0,0.0,2.0,0.0,2802,14244,959000,10681,4,10644,72410,660753,370255,0.07550573514077163,A,37
9,GA,2361.0,2572.0,12404.0,222.0,409.0,19026.0,8418,46494,1540000,178108,3364,174392,1468399,1262568,911114,0.9535058441558442,E,3716
10,GJ,34282.0,14685.0,62096.0,159.0,116.0,328489.0,335172,1660382,67936000,826577,10089,816283,30928063,44735217,25972387,0.45525292922750826,C,10294
11,HP,3613.0,371.0,8192.0,1537.0,1154.0,64352.0,13244,234011,7300000,224106,3738,218410,3685011,5713695,3443823,0.5047960273972603,D,5696
12,HR,20588.0,7867.0,15801.0,95.0,87.0,148110.0,160777,368141,28672000,771252,10049,761068,13032504,17772376,8115463,0.4545376674107143,C,10184
13,JH,31238.0,41034.0,51488.0,137.0,250.0,464579.0,299587,428313,37403000,348764,5138,343518,15985878,14986646,5585648,0.4273956099778093,C,5246
14,JK,38915.0,1584.0,45202.0,611.0,572.0,254608.0,33383,414843,13203000,332249,4432,326915,16202346,9511073,5149471,1.2271715519200181,E,5334
15,KA,106939.0,17604.0,28163.0,2347.0,2339.0,724215.0,623591,1373861,65798000,2988333,38082,2941578,50873103,42497761,22858384,0.7731709626432415,E,46755
16,KL,65158.0,2010.0,11914.0,53326.0,48406.0,506604.0,109805,792534,35125000,4968657,31681,4857181,37886378,25306499,13658343,1.078615743772242,E,111476
17,LA,388.0,0.0,2.0,58.0,28.0,2475.0,525,1532,293000,20962,208,20687,555568,208798,152280,1.896136518771331,E,275
18,LD,31.0,0.0,4.0,0.0,0.0,1625.0,69,796,68000,10365,51,10270,263541,55129,45951,3.8756029411764708,E,95
19,MH,108040.0,53161.0,31988.0,8117.0,15146.0,773516.0,1611778,1282938,122153000,6611078,140216,6450585,62667211,67198794,30975692,0.5130222835296718,D,160493
20,ML,1559.0,38.0,203.0,256.0,460.0,13944.0,7871,41927,3224000,83627,1450,81746,1151665,1103275,641819,0.35721619106699753,C,1881
21,MN,1689.0,705.0,4283.0,439.0,652.0,12787.0,7665,71276,3103000,123731,1921,121102,1367673,1249436,719413,0.44075829842088304,C,2629
22,MP,55368.0,5713.0,77062.0,105.0,74.0,393209.0,148817,2034460,82232000,792854,10524,782215,20294225,49911938,20838045,0.2467923071310439,B,10639
23,MZ,5945.0,10.0,51.0,4098.0,5685.0,42841.0,4302,11262,1192000,121359,432,114612,1298444,711597,512029,1.0892986577181207,E,6747
24,NL,468.0,193.0,822.0,130.0,144.0,4606.0,4706,23628,2150000,31842,685,29904,395416,709553,490663,0.18391441860465116,B,1938
25,OR,69675.0,21420.0,25651.0,3046.0,3230.0,473919.0,731837,917236,43671000,1041457,8386,1029147,21994343,25736641,11560912,0.5036372650042362,D,12310
26,PB,34152.0,3321.0,4418.0,192.0,162.0,221114.0,200182,223256,29859000,602401,16559,585591,15429415,15942714,6238973,0.5167425231923373,D,16810
27,PY,2662.0,171.0,532.0,278.0,315.0,21095.0,8324,20073,1504000,128013,1857,125726,1919060,733922,404355,1.275970744680851,E,2287
28,RJ,13454.0,9399.0,29672.0,27.0,26.0,95132.0,271500,864947,77264000,954429,8954,945443,14807752,42544909,20097635,0.1916513770967074,B,8986
29,SK,389.0,0.0,0.0,79.0,76.0,2847.0,782,14044,664000,31979,396,31063,261343,521763,451509,0.39358885542168676,C,916
30,TG,25021.0,38781.0,26738.0,1189.0,1121.0,261086.0,1072389,961422,37220000,671463,3956,663498,27569831,22498559,9772398,0.7407262493283181,D,7965
31,TN,123701.0,77325.0,106584.0,7407.0,8852.0,858304.0,788134,1578082,75695000,2702623,36116,2655015,51159242,41279432,17619141,0.6758602549706058,D,47608
32,TR,3501.0,3.0,650.0,87.0,62.0,22126.0,4155,74642,3992000,84468,813,83466,1983127,2508477,1621329,0.4967753006012024,C,1002
33,TT,881379.0,750410.0,933460.0,96071.0,101753.0,8431577.0,15883780,24527530,1332900000,34285612,458470,33661339,609201294,732371508,330752697,0.45704951159126717,C,624273
34,UP,161458.0,53401.0,57556.0,63.0,58.0,1140736.0,2266921,3130828,224979000,1710158,22900,1687151,83635222,98178865,32681895,0.3717467941452313,C,23007
35,UT,9524.0,1065.0,12934.0,75.0,74.0,83377.0,25250,258381,11141000,343896,7400,330195,7781148,7478017,3898342,0.6984245579391437,D,13701
36,WB,47417.0,209609.0,58881.0,6453.0,5953.0,300114.0,3809597,1871612,96906000,1592908,19141,1565471,19228303,56192166,21559747,0.19842221327884754,B,27437
